"topic_id","topic_title","structure","subtopic_id","subtopic_title","sub-structure","reg_id","stmt_id","sub_id","act_id","obl_id","obl_type","obl_strength","why","how","where","when",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_1","Principle","section","Eudralex_","Eudralex__1",""," follow comply","must","Positive","Strong",""," clearly","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.1","Eudralex_5.1_1",""," performed supervised","should be","Positive","Moderate","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.2","Eudralex_5.2_1"," distribution packaging quarantine receipt processing storage handling products materials"," done","should be","Positive","Moderate","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.3","Eudralex_5.3_1"," incoming materials"," checked","should be","Positive","Moderate","  to ensure that the consignment corresponds to the order","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.3","Eudralex_5.3_2"," Containers"," cleaned","should be","Positive","Moderate","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.7","Eudralex_5.7_1"," materials products"," stored","should be","Positive","Moderate","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.10","Eudralex_5.10_1"," materials stage products processing"," protected","should be","Positive","Moderate","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.11","Eudralex_5.11_1"," special precautions products dry materials"," taken","should be","Positive","Moderate","  to prevent the generation and dissemination of dust","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.11","Eudralex_5.11_2","","","","null","null","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.12","Eudralex_5.12_1"," appropriate rooms equipment materials processing major items bulk containers times","","should be","Positive","Moderate","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.12","Eudralex_5.12_2"," indication"," mention","should also","Positive","Moderate","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.13","Eudralex_5.13_1","","","","null","null","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.15","Eudralex_5.15_1"," deviation procedures instructions"," avoided","should be","Positive","Moderate",""," as far as","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.15","Eudralex_5.15_2"," deviation"," approved","should be","Positive","Moderate","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_2"," General","section","Eudralex_5.17","Eudralex_5.17_1"," production non-medicinal products"," avoided","should be","Positive","Moderate","",""," in areas","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_3"," Prevention of cross-contamination in production","section","Eudralex_5.18","Eudralex_5.18_1"," material product product material"," avoided","must be","Positive","Strong","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_3"," Prevention of cross-contamination in production","section","Eudralex_5.18","Eudralex_5.18_2","","","","null","null","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_3"," Prevention of cross-contamination in production","section","Eudralex_5.18","Eudralex_5.18_3","","","","null","null","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_3"," Prevention of cross-contamination in production","section","Eudralex_5.18","Eudralex_5.18_4","","","","null","null","","","","",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_3"," Prevention of cross-contamination in production","section","Eudralex_5.18","Eudralex_5.18_5","","","","null","null","","",""," long time",
"chapter_1","CHAPTER 5   PRODUCTION","chapter","section_4"," Validation","section","Eudralex_5.21","Eudralex_5.21_1"," studies"," reinforce","should","Positive","Moderate","","","","",
