mapping_id, reg_id, task_id, score,accuracy 
mid_7, Eudralex2007_7.43, AspirinStorageTask101, 1.0, 
mid_9, Eudralex2007_7.43, StoringTask102, 1.0, 
mid_31, Eudralex2007_7.43, StoringTask104, 1.0, 
mid_40, Eudralex2007_7.43, StoringTask103, 1.0, 
mid_86, Eudralex2007_18.34, CleaningTask_301, 1.0, 
mid_88, Eudralex2007_18.34, CleaningTask_302, 1.0, 
mid_96, Eudralex2007_18.34, CleaningTask_201, 1.0, 
mid_105, Eudralex2007_18.34, CleaningTask_303, 1.0, 
mid_107, Eudralex2007_18.34, CleaningTask_202, 1.0, 
mid_114, Eudralex2007_18.34, T101CleaningTask, 1.0, 
mid_124, Eudralex2007_18.34, T102CleaningTask, 1.0, 
mid_125, Eudralex2007_18.34, CleaningTask_203, 1.0, 
mid_128, Eudralex2007_18.34, TankCleaningTask103, 1.0, 
mid_286, Eudralex2007_5.49, DataRecordingTask501, 1.0, 
mid_304, Eudralex2007_5.49, DataRecordingTask502, 1.0, 
mid_337, Eudralex2007_5.49, DataRecordingTask503, 1.0, 
mid_411, Eudralex2007_5.35, InvestigatingTask_303, 1.0, 
mid_412, Eudralex2007_5.35, InvestigatingTask_101, 1.0, 
mid_414, Eudralex2007_5.35, InvestigatingTask_102, 1.0, 
mid_416, Eudralex2007_5.35, InvestigatingTask_104, 1.0, 
mid_418, Eudralex2007_5.35, InvestigatingTask_103, 1.0, 
mid_420, Eudralex2007_5.35, InvestigatingTask_301, 1.0, 
mid_423, Eudralex2007_5.35, InvestigatingTask_302, 1.0, 
mid_484, Eudralex2007_8.14, InvestigatingTask_303, 1.0, 
mid_630, Eudralex2007_8.14, InvestigatingTask_101, 1.0, 
mid_632, Eudralex2007_8.14, InvestigatingTask_102, 1.0, 
mid_634, Eudralex2007_8.14, InvestigatingTask_104, 1.0, 
mid_636, Eudralex2007_8.14, InvestigatingTask_103, 1.0, 
mid_638, Eudralex2007_8.14, InvestigatingTask_301, 1.0, 
mid_641, Eudralex2007_8.14, InvestigatingTask_302, 1.0, 
mid_1018, Eudralex2007_4.60, RecycleDisposal102, 1.0, 
mid_1023, Eudralex2007_4.60, BioDisposal101, 1.0, 
