mapping_id, reg_id, stmt_id, task_id, topic_score,core_score, aux_score,final_score
mid_1, Eudralex2007_7.43, Eudralex2007_7.43_1, MarkingTask_302, 0.55712, 0.81896, 0.0, 0.81896
mid_2, Eudralex2007_7.43, Eudralex2007_7.43_1, P101Task, 0.24816, 0.37971, 0.0, 0.37971
mid_3, Eudralex2007_7.43, Eudralex2007_7.43_1, DataRecordingTask501, 0.61288, 0.40693, 0.0, 0.61288
mid_4, Eudralex2007_7.43, Eudralex2007_7.43_1, IncidentRecordingTask401, 0.63893, 0.40693, 0.0, 0.63893
mid_5, Eudralex2007_7.43, Eudralex2007_7.43_1, AspirinTabletMarkTask101, 0.33519, 0.81896, 0.0, 0.81896
mid_6, Eudralex2007_7.43, Eudralex2007_7.43_1, AspirinTabletMarkTask102, 0.55359, 0.81896, 0.0, 0.81896
mid_7, Eudralex2007_7.43, Eudralex2007_7.43_1, AspirinStorageTask101, 0.66667, 1.0, 0.0, 1.0
mid_8, Eudralex2007_7.43, Eudralex2007_7.43_1, ResultRecordingTask303, 0.66057, 0.64231, 0.0, 0.66057
mid_9, Eudralex2007_7.43, Eudralex2007_7.43_1, StoringTask102, 0.66667, 1.0, 0.0, 1.0
mid_10, Eudralex2007_7.43, Eudralex2007_7.43_1, PurchasingTask102, 0.57813, 0.76947, 0.0, 0.76947
mid_11, Eudralex2007_7.43, Eudralex2007_7.43_1, ComplaintRecordingTask203, 0.59013, 0.40693, 0.0, 0.59013
mid_12, Eudralex2007_7.43, Eudralex2007_7.43_1, STask303, 0.55419, 0.69363, 0.0, 0.69363
mid_13, Eudralex2007_7.43, Eudralex2007_7.43_1, AcidPurchaseTask101, 0.46037, 0.76947, 0.0, 0.76947
mid_14, Eudralex2007_7.43, Eudralex2007_7.43_1, CleaningTask_301, 0.51397, 0.37971, 0.0, 0.51397
mid_15, Eudralex2007_7.43, Eudralex2007_7.43_1, DisposingTask201, 0.29438, 0.19363, 0.0, 0.29438
mid_16, Eudralex2007_7.43, Eudralex2007_7.43_1, CleaningTask_302, 0.51397, 0.37971, 0.0, 0.51397
mid_17, Eudralex2007_7.43, Eudralex2007_7.43_1, ResultRecordingTask301, 0.66057, 0.64231, 0.0, 0.66057
mid_18, Eudralex2007_7.43, Eudralex2007_7.43_1, P102Task, 0.41317, 0.37971, 0.0, 0.41317
mid_19, Eudralex2007_7.43, Eudralex2007_7.43_1, MarkingTask_202, 0.68053, 0.81896, 0.0, 0.81896
mid_20, Eudralex2007_7.43, Eudralex2007_7.43_1, ProtectingTask202, 0.46037, 0.5, 0.0, 0.5
mid_21, Eudralex2007_7.43, Eudralex2007_7.43_1, DataRecordingTask502, 0.61288, 0.40693, 0.0, 0.61288
mid_22, Eudralex2007_7.43, Eudralex2007_7.43_1, P103Task, 0.41317, 0.37971, 0.0, 0.41317
mid_23, Eudralex2007_7.43, Eudralex2007_7.43_1, MarkingTask_203, 0.68053, 0.81896, 0.0, 0.81896
mid_24, Eudralex2007_7.43, Eudralex2007_7.43_1, CleaningTask_201, 0.36783, 0.37971, 0.0, 0.37971
mid_25, Eudralex2007_7.43, Eudralex2007_7.43_1, CheckingTask402, 0.45924, 0.13588, 0.0, 0.45924
mid_26, Eudralex2007_7.43, Eudralex2007_7.43_1, CheckingTask403, 0.45924, 0.13588, 0.0, 0.45924
mid_27, Eudralex2007_7.43, Eudralex2007_7.43_1, S203Task, 0.58647, 0.87971, 0.0, 0.87971
mid_28, Eudralex2007_7.43, Eudralex2007_7.43_1, MarkingTask_301, 0.55712, 0.81896, 0.0, 0.81896
mid_29, Eudralex2007_7.43, Eudralex2007_7.43_1, CheckingTask401, 0.45924, 0.13588, 0.0, 0.45924
mid_30, Eudralex2007_7.43, Eudralex2007_7.43_1, DisposingTask202, 0.29438, 0.19363, 0.0, 0.29438
mid_31, Eudralex2007_7.43, Eudralex2007_7.43_1, StoringTask104, 0.66667, 1.0, 0.0, 1.0
mid_32, Eudralex2007_7.43, Eudralex2007_7.43_1, S201Task, 0.74858, 0.87971, 0.0, 0.87971
mid_33, Eudralex2007_7.43, Eudralex2007_7.43_1, CleaningTask_303, 0.51397, 0.37971, 0.0, 0.51397
mid_34, Eudralex2007_7.43, Eudralex2007_7.43_1, PurchasingTask104, 0.57813, 0.76947, 0.0, 0.76947
mid_35, Eudralex2007_7.43, Eudralex2007_7.43_1, CleaningTask_202, 0.58311, 0.37971, 0.0, 0.58311
mid_36, Eudralex2007_7.43, Eudralex2007_7.43_1, MarkingTask_303, 0.55712, 0.81896, 0.0, 0.81896
mid_37, Eudralex2007_7.43, Eudralex2007_7.43_1, IncidentRecordingTask403, 0.63893, 0.40693, 0.0, 0.63893
mid_38, Eudralex2007_7.43, Eudralex2007_7.43_1, MarkingTask_201, 0.68053, 0.81896, 0.0, 0.81896
mid_39, Eudralex2007_7.43, Eudralex2007_7.43_1, IncidentRecordingTask402, 0.63893, 0.40693, 0.0, 0.63893
mid_40, Eudralex2007_7.43, Eudralex2007_7.43_1, StoringTask103, 0.66667, 1.0, 0.0, 1.0
mid_41, Eudralex2007_7.43, Eudralex2007_7.43_1, STask301, 0.55419, 0.69363, 0.0, 0.69363
mid_42, Eudralex2007_7.43, Eudralex2007_7.43_1, T101CleaningTask, 0.51397, 0.37971, 0.0, 0.51397
mid_43, Eudralex2007_7.43, Eudralex2007_7.43_1, STask302, 0.55419, 0.69363, 0.0, 0.69363
mid_44, Eudralex2007_7.43, Eudralex2007_7.43_1, ProtectingTask203, 0.46037, 0.5, 0.0, 0.5
mid_45, Eudralex2007_7.43, Eudralex2007_7.43_1, DisposingTask203, 0.29438, 0.19363, 0.0, 0.29438
mid_46, Eudralex2007_7.43, Eudralex2007_7.43_1, ComplaintRecordingTask201, 0.54633, 0.40693, 0.0, 0.54633
mid_47, Eudralex2007_7.43, Eudralex2007_7.43_1, ComplaintRecordingTask202, 0.54633, 0.40693, 0.0, 0.54633
mid_48, Eudralex2007_7.43, Eudralex2007_7.43_1, AspirinTabletMarkTask103, 0.55359, 0.81896, 0.0, 0.81896
mid_49, Eudralex2007_7.43, Eudralex2007_7.43_1, PurchasingTask103, 0.2448, 0.76947, 0.0, 0.76947
mid_50, Eudralex2007_7.43, Eudralex2007_7.43_1, ResultRecordingTask302, 0.66057, 0.64231, 0.0, 0.66057
mid_51, Eudralex2007_7.43, Eudralex2007_7.43_1, ProtectingTask201, 0.46037, 0.5, 0.0, 0.5
mid_52, Eudralex2007_7.43, Eudralex2007_7.43_1, T102CleaningTask, 0.51651, 0.37971, 0.0, 0.51651
mid_53, Eudralex2007_7.43, Eudralex2007_7.43_1, CleaningTask_203, 0.51397, 0.37971, 0.0, 0.51397
mid_54, Eudralex2007_7.43, Eudralex2007_7.43_1, DataRecordingTask503, 0.61288, 0.40693, 0.0, 0.61288
mid_55, Eudralex2007_7.43, Eudralex2007_7.43_1, S202Task, 0.58647, 0.87971, 0.0, 0.87971
mid_56, Eudralex2007_7.43, Eudralex2007_7.43_1, TankCleaningTask103, 0.51651, 0.37971, 0.0, 0.51651
mid_57, Eudralex2007_7.43, Eudralex2007_7.43_1, InvestigatingTask_303, 0.49845, 0.29278, 0.0, 0.49845
mid_58, Eudralex2007_7.43, Eudralex2007_7.43_1, InvestigatingTask_101, 0.46165, 0.20705, 0.0, 0.46165
mid_59, Eudralex2007_7.43, Eudralex2007_7.43_1, InvestigatingTask_102, 0.32433, 0.07117, 0.0, 0.32433
mid_60, Eudralex2007_7.43, Eudralex2007_7.43_1, InvestigatingTask_203, 0.43506, 0.0, 0.0, 0.43506
mid_61, Eudralex2007_7.43, Eudralex2007_7.43_1, InvestigatingTask_104, 0.32433, 0.07117, 0.0, 0.32433
mid_62, Eudralex2007_7.43, Eudralex2007_7.43_1, RecycleDisposal102, 0.55708, 0.5, 0.0, 0.55708
mid_63, Eudralex2007_7.43, Eudralex2007_7.43_1, InvestigatingTask_103, 0.46165, 0.07117, 0.0, 0.46165
mid_64, Eudralex2007_7.43, Eudralex2007_7.43_1, InvestigatingTask_201, 0.2473, 0.0, 0.0, 0.2473
mid_65, Eudralex2007_7.43, Eudralex2007_7.43_1, InvestigatingTask_301, 0.49278, 0.1569, 0.0, 0.49278
mid_66, Eudralex2007_7.43, Eudralex2007_7.43_1, DeviationRecordTask101, 0.64134, 0.4781, 0.0, 0.64134
mid_67, Eudralex2007_7.43, Eudralex2007_7.43_1, BioDisposal101, 0.55708, 0.5, 0.0, 0.55708
mid_68, Eudralex2007_7.43, Eudralex2007_7.43_1, InvestigatingTask_302, 0.49278, 0.1569, 0.0, 0.49278
mid_69, Eudralex2007_7.43, Eudralex2007_7.43_1, DeviationRecordTask103, 0.64134, 0.4781, 0.0, 0.64134
mid_70, Eudralex2007_7.43, Eudralex2007_7.43_1, DeviationRecordTask102, 0.64134, 0.4781, 0.0, 0.64134
mid_71, Eudralex2007_7.43, Eudralex2007_7.43_1, ToxicDisposal103, 0.55708, 0.5, 0.0, 0.55708
mid_72, Eudralex2007_7.43, Eudralex2007_7.43_1, DeviationRecordTask104, 0.64134, 0.4781, 0.0, 0.64134
mid_73, Eudralex2007_18.34, Eudralex2007_18.34_1, MarkingTask_302, 0.38034, 0.67409, 0.0, 0.67409
mid_74, Eudralex2007_18.34, Eudralex2007_18.34_1, P101Task, 0.22016, 0.5, 0.0, 0.5
mid_75, Eudralex2007_18.34, Eudralex2007_18.34_1, DataRecordingTask501, 0.25168, 0.0, 0.0, 0.25168
mid_76, Eudralex2007_18.34, Eudralex2007_18.34_1, IncidentRecordingTask401, 0.1969, 0.0, 0.0, 0.1969
mid_77, Eudralex2007_18.34, Eudralex2007_18.34_1, AspirinTabletMarkTask101, 0.2553, 0.67409, 0.0, 0.67409
mid_78, Eudralex2007_18.34, Eudralex2007_18.34_1, AspirinTabletMarkTask102, 0.45374, 0.67409, 0.0, 0.67409
mid_79, Eudralex2007_18.34, Eudralex2007_18.34_1, AspirinStorageTask101, 0.38916, 0.37971, 0.0, 0.38916
mid_80, Eudralex2007_18.34, Eudralex2007_18.34_1, ResultRecordingTask303, 0.3331, 0.0, 0.0, 0.3331
mid_81, Eudralex2007_18.34, Eudralex2007_18.34_1, StoringTask102, 0.38916, 0.37971, 0.0, 0.38916
mid_82, Eudralex2007_18.34, Eudralex2007_18.34_1, PurchasingTask102, 0.31077, 0.37971, 0.0, 0.37971
mid_83, Eudralex2007_18.34, Eudralex2007_18.34_1, ComplaintRecordingTask203, 0.1969, 0.0, 0.0, 0.1969
mid_84, Eudralex2007_18.34, Eudralex2007_18.34_1, STask303, 0.17489, 0.04196, 0.0, 0.17489
mid_85, Eudralex2007_18.34, Eudralex2007_18.34_1, AcidPurchaseTask101, 0.36188, 0.37971, 0.0, 0.37971
mid_86, Eudralex2007_18.34, Eudralex2007_18.34_1, CleaningTask_301, 0.2363, 1.0, 0.0, 1.0
mid_87, Eudralex2007_18.34, Eudralex2007_18.34_1, DisposingTask201, 0.15163, 0.31192, 0.0, 0.31192
mid_88, Eudralex2007_18.34, Eudralex2007_18.34_1, CleaningTask_302, 0.2363, 1.0, 0.0, 1.0
mid_89, Eudralex2007_18.34, Eudralex2007_18.34_1, ResultRecordingTask301, 0.3331, 0.0, 0.0, 0.3331
mid_90, Eudralex2007_18.34, Eudralex2007_18.34_1, P102Task, 0.22458, 0.5, 0.0, 0.5
mid_91, Eudralex2007_18.34, Eudralex2007_18.34_1, MarkingTask_202, 0.38034, 0.67409, 0.0, 0.67409
mid_92, Eudralex2007_18.34, Eudralex2007_18.34_1, ProtectingTask202, 0.36188, 0.37971, 0.0, 0.37971
mid_93, Eudralex2007_18.34, Eudralex2007_18.34_1, DataRecordingTask502, 0.25168, 0.0, 0.0, 0.25168
mid_94, Eudralex2007_18.34, Eudralex2007_18.34_1, P103Task, 0.22458, 0.5, 0.0, 0.5
mid_95, Eudralex2007_18.34, Eudralex2007_18.34_1, MarkingTask_203, 0.38034, 0.67409, 0.0, 0.67409
mid_96, Eudralex2007_18.34, Eudralex2007_18.34_1, CleaningTask_201, 0.17463, 1.0, 0.0, 1.0
mid_97, Eudralex2007_18.34, Eudralex2007_18.34_1, CheckingTask402, 0.37633, 0.17625, 0.0, 0.37633
mid_98, Eudralex2007_18.34, Eudralex2007_18.34_1, CheckingTask403, 0.37633, 0.17625, 0.0, 0.37633
mid_99, Eudralex2007_18.34, Eudralex2007_18.34_1, S203Task, 0.16151, 0.5, 0.0, 0.5
mid_100, Eudralex2007_18.34, Eudralex2007_18.34_1, MarkingTask_301, 0.38034, 0.67409, 0.0, 0.67409
mid_101, Eudralex2007_18.34, Eudralex2007_18.34_1, CheckingTask401, 0.37633, 0.17625, 0.0, 0.37633
mid_102, Eudralex2007_18.34, Eudralex2007_18.34_1, DisposingTask202, 0.15163, 0.31192, 0.0, 0.31192
mid_103, Eudralex2007_18.34, Eudralex2007_18.34_1, StoringTask104, 0.36188, 0.37971, 0.0, 0.37971
mid_104, Eudralex2007_18.34, Eudralex2007_18.34_1, S201Task, 0.29089, 0.5, 0.0, 0.5
mid_105, Eudralex2007_18.34, Eudralex2007_18.34_1, CleaningTask_303, 0.2363, 1.0, 0.0, 1.0
mid_106, Eudralex2007_18.34, Eudralex2007_18.34_1, PurchasingTask104, 0.36188, 0.37971, 0.0, 0.37971
mid_107, Eudralex2007_18.34, Eudralex2007_18.34_1, CleaningTask_202, 0.29089, 1.0, 0.0, 1.0
mid_108, Eudralex2007_18.34, Eudralex2007_18.34_1, MarkingTask_303, 0.38034, 0.67409, 0.0, 0.67409
mid_109, Eudralex2007_18.34, Eudralex2007_18.34_1, IncidentRecordingTask403, 0.1969, 0.0, 0.0, 0.1969
mid_110, Eudralex2007_18.34, Eudralex2007_18.34_1, MarkingTask_201, 0.38034, 0.67409, 0.0, 0.67409
mid_111, Eudralex2007_18.34, Eudralex2007_18.34_1, IncidentRecordingTask402, 0.1969, 0.0, 0.0, 0.1969
mid_112, Eudralex2007_18.34, Eudralex2007_18.34_1, StoringTask103, 0.38916, 0.37971, 0.0, 0.38916
mid_113, Eudralex2007_18.34, Eudralex2007_18.34_1, STask301, 0.17489, 0.04196, 0.0, 0.17489
mid_114, Eudralex2007_18.34, Eudralex2007_18.34_1, T101CleaningTask, 0.26754, 1.0, 0.0, 1.0
