mapping_id, reg_id, task_id, score,accuracy 
em_1, Eudralex2007_4.60, ToxicDisposal103, 0.0, 
em_2, Eudralex2007_4.60, RecycleDisposal102, 0.0, 
em_3, Eudralex2007_4.60, BioDisposal101, 0.0, 
em_4, Eudralex2007_9.32, DisposingTask202, 0.0, 
em_5, Eudralex2007_9.32, DisposingTask203, 0.0, 
em_6, Eudralex2007_9.32, DisposingTask201, 0.0, 
em_7, Eudralex2007_9.32, STask302, 0.0, 
em_8, Eudralex2007_9.32, STask301, 0.0, 
em_9, Eudralex2007_9.32, STask303, 0.0, 
em_10, Eudralex2007_4.12, ProtectingTask203, 0.0, 
em_11, Eudralex2007_4.12, ProtectingTask202, 0.0, 
em_12, Eudralex2007_4.12, ProtectingTask201, 0.0, 
em_13, Eudralex2007_9.20, P103Task, 0.0, 
em_14, Eudralex2007_9.20, P101Task, 0.0, 
em_15, Eudralex2007_9.20, P102Task, 0.0, 
em_16, Eudralex2007_9.22, CleaningTask_203, 0.0, 
em_17, Eudralex2007_9.22, TankCleaningTask103, 0.0, 
em_18, Eudralex2007_9.22, T101CleaningTask, 0.0, 
em_19, Eudralex2007_9.22, CleaningTask_301, 0.0, 
em_20, Eudralex2007_9.22, CleaningTask_202, 0.0, 
em_21, Eudralex2007_9.22, CleaningTask_303, 0.0, 
em_22, Eudralex2007_9.22, T102CleaningTask, 0.0, 
em_23, Eudralex2007_9.22, CleaningTask_201, 0.0, 
em_24, Eudralex2007_9.22, CleaningTask_302, 0.0, 
em_25, Eudralex2007_5.21, CleaningTask_303, 0.0, 
em_26, Eudralex2007_5.21, T102CleaningTask, 0.0, 
em_27, Eudralex2007_5.21, CleaningTask_201, 0.0, 
em_28, Eudralex2007_5.21, T101CleaningTask, 0.0, 
em_29, Eudralex2007_5.21, CleaningTask_202, 0.0, 
em_30, Eudralex2007_5.21, CleaningTask_301, 0.0, 
em_31, Eudralex2007_5.21, TankCleaningTask103, 0.0, 
