sn,alpha,beta,gamma,threshold,precision,recall,fmeasure
1,1.0,1.0,1.0,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
2,1.0,1.0,0.9,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
3,1.0,1.0,0.8,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
4,1.0,1.0,0.7000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
5,1.0,1.0,0.6000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
6,1.0,1.0,0.5000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
7,1.0,1.0,0.40000000000000013,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
8,1.0,1.0,0.30000000000000016,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
9,1.0,1.0,0.20000000000000015,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
10,1.0,1.0,0.10000000000000014,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
11,1.0,1.0,1.3877787807814457E-16,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
12,1.0,0.9,1.0,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
13,1.0,0.9,0.9,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
14,1.0,0.9,0.8,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
15,1.0,0.9,0.7000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
16,1.0,0.9,0.6000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
17,1.0,0.9,0.5000000000000001,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
18,1.0,0.9,0.40000000000000013,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
19,1.0,0.9,0.30000000000000016,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
20,1.0,0.9,0.20000000000000015,0.85,0.8823529411764706,0.8823529411764706,0.8823529411764706
